Sitecode,Monthcode,Replicate,Wrack,Armases_4m2,Part_sampled,Height,Width,Depth,Galls,Miners,Neither,Toughness1,Toughness2,Toughness3
6,7,4,3,0,1,90,70,90,0,5,25,295,250,160
6,7,5,5,0,1,145,70,80,0,9,21,225,285,325
6,7,7,6,0,1,120,65,65,0,6,24,280,320,245
6,7,1,23,0,1,120,65,100,0,2,2,275,185,285
6,7,8,10,0,1,145,60,60,0,18,12,255,210,295
6,7,6,2,0,1,100,65,70,0,12,18,250,145,320
6,8,4,2,0,1,165,85,95,0,11,19,300,420,370
6,8,5,3,0,1,120,90,65,0,2,28,300,250,200
6,8,6,5,0,1,140,70,75,0,12,18,265,350,300
6,8,7,1,0,1,150,115,95,0,15,15,425,275,275
6,8,1,5,0,1,135,110,95,0,5,25,390,345,460
6,8,3,2,0,1,130,95,90,0,9,21,370,240,320
6,8,8,1,0,1,130,80,85,0,15,15,350,450,450
6,8,2,15,0,1,125,70,65,0,4,26,325,450,325
7,6,5,9,0,1,145,100,90,0,0,30,105,110,80
7,6,6,8,0,1,135,100,90,0,0,30,95,105,130
7,6,7,15,0,1,140,50,65,0,0,30,135,165,150
7,6,8,11,0,1,150,70,60,0,0,30,160,100,195
7,6,1,6,0,1,140,65,60,0,0,30,85,100,130
7,6,2,39,0,1,100,35,55,0,0,30,145,155,110
7,6,3,16,0,1,140,60,82,0,0,30,100,150,125
7,6,4,13,0,1,135,90,55,0,0,30,110,125,80
7,7,1,12,0,1,170,120,90,0,1,29,140,240,175
7,7,2,8,0,1,155,105,75,0,1,29,225,260,330
7,7,5,41,0,1,160,95,60,0,1,29,240,195,215
7,7,8,109,0,1,170,110,100,0,0,30,250,305,275
7,7,4,11,0,1,180,100,60,0,0,30,195,180,220
7,7,7,48,0,1,180,145,100,0,0,30,235,200,280
7,7,3,15,0,1,160,120,140,0,0,30,270,265,210
7,7,6,118,0,1,155,80,60,0,0,30,210,275,245
7,8,7,11,0,1,150,75,90,0,0,30,260,360,330
7,8,4,17,0,1,135,90,100,0,0,30,200,240,270
7,8,8,118,0,1,140,95,70,0,0,30,275,350,400
7,8,3,10,0,1,155,125,100,0,1,29,400,355,350
7,8,1,13,0,1,130,95,80,0,0,30,335,320,320
7,8,2,10,0,1,120,65,75,0,0,30,340,370,420
7,8,5,9,0,1,145,95,85,0,0,30,400,400,380
7,8,6,10,0,1,135,110,85,0,0,30,370,365,390
8,6,3,1,0,1,140,90,95,0,1,29,150,115,145
8,6,4,0,0,0.5,150,180,140,0,1,29,150,115,205
8,6,6,335,0,0.5,170,120,140,0,0,30,200,190,145
8,6,7,460,0,1,145,100,100,0,1,29,215,170,225
8,6,2,35,0,1,130,115,70,0,0,30,125,110,150
8,6,8,369,0,1,130,90,130,0,0,30,200,220,225
8,6,5,156,0,0.5,145,125,110,0,1,29,105,150,110
8,6,1,491,0,1,150,100,130,0,1,29,185,200,225
8,7,2,395,0,1,160,170,140,0,0,30,135,170,235
8,7,3,219,0,1,150,120,80,0,1,29,165,245,215
8,7,5,5,0,1,160,80,130,0,0,30,280,145,215
8,7,6,2,0,0.5,165,155,160,0,1,29,325,310,200
8,7,1,266,0,1,170,95,110,0,1,29,235,280,230
8,7,7,4,0,1,140,115,90,0,0,30,215,265,290
8,7,8,1,0,1,140,80,90,0,0,30,250,270,255
8,7,4,303,0,1,130,70,60,0,1,29,235,285,275
8,8,1,187,0,1,110,115,115,0,1,29,220,230,325
8,8,2,365,0,1,120,180,100,0,1,29,240,300,325
8,8,5,14,0,0.5,155,130,140,0,3,27,290,320,250
8,8,8,15,0,1,140,100,100,0,3,27,420,425,415
8,8,3,374,0,1,115,130,75,0,2,28,250,295,325
8,8,4,87,0,1,125,120,90,0,2,28,160,280,300
8,8,7,3,0,1,145,115,100,0,1,29,370,380,340
8,8,6,5,0,1,95,70,70,0,3,27,450,420,395
9,6,1,35,0,1,140,100,100,0,0,30,145,145,140
9,6,2,40,0,1,140,60,70,0,0,30,145,105,130
9,6,6,21,0,1,120,60,50,0,0,30,135,130,170
9,6,8,29,0,1,140,75,85,0,0,30,165,80,125
9,6,3,9,0,1,130,85,50,0,0,30,70,150,150
9,6,4,10,0,1,130,45,30,0,0,30,170,145,165
9,6,5,9,0,1,135,40,40,0,0,30,100,105,170
9,6,7,30,0,1,100,30,45,0,0,30,135,120,145
9,7,1,28,0,1,160,105,80,0,0,30,205,235,250
9,7,2,5,0,1,155,70,60,0,0,30,200,205,110
9,7,3,65,0,1,150,70,50,0,0,30,185,270,145
9,7,4,7,0,1,150,80,75,0,0,30,225,225,285
9,7,8,129,0,1,130,70,60,0,1,29,250,255,290
9,7,7,9,0,1,150,70,60,0,0,30,230,285,255
9,7,5,32,0,1,140,50,75,0,0,30,100,195,210
9,7,6,5,0,1,120,35,50,0,0,30,200,265,195
9,8,1,12,0,1,150,120,110,0,0,30,290,295,310
