2.1057,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,0.96877,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.0485,-0.60333,-0.60333,1.0485,-0.60333,-0.60333,-0.60333,0.46982,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
5.8174,0.83998,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
4.7666,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,1.5912,2.8447,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.717,-0.60333,-0.60333,0.66684,-0.60333,2.2892,-0.60333,1.019,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
2.6785,-0.60333,-0.60333,0.22299,-0.60333,0.7234,-0.60333,0.22299,0.22299,-0.60333,-0.46695,-0.37642,-0.79676
1.9797,-0.60333,-0.60333,-0.60333,-0.60333,0.53628,-0.60333,0.087987,0.087987,-0.60333,-0.46695,-0.37642,-0.79676
2.547,-0.13752,-0.60333,0.20434,-0.60333,0.47455,-0.60333,-0.13752,-0.60333,-0.60333,-0.46695,-0.37642,-0.16186
-0.60333,-0.60333,-0.60333,-0.60333,0.58755,0.58755,-0.60333,-0.60333,0.58755,-0.60333,-0.46695,-0.37642,-0.79676
1.2694,-0.60333,-0.60333,-0.04323,0.64564,-0.04323,-0.60333,-0.04323,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
2.4688,-0.60333,-0.60333,0.07959,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
0.80233,0.28153,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.3943,0.11044,-0.60333,0.11044,-0.60333,0.11044,1.1727,1.1727,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.0853,-0.60333,-0.60333,1.0853,-0.60333,-0.046896,-0.60333,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.3603,-0.60333,-0.60333,0.80867,-0.60333,0.62418,-0.60333,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.1209,-0.60333,-0.60333,0.081253,-0.60333,0.85759,-0.60333,-0.60333,-0.60333,-0.60333,-0.46695,-0.37642,-0.79676
1.1831,-0.60333,-0.60333,-0.60333,-0.60333,0.57622,-0.60333,-0.60333,0.11634,-0.60333,-0.46695,-0.37642,-0.79676
