213.22,2.0481,0,2.5806,0,0,6.8113,14.624,0,0
48.276,1.4133,0,4.6609,3.1317,14.878,0,5.0724,3.1066,0
20.851,0.73529,0,7.2448,5.0819,18.9,2.9412,4.0635,0.74322,0
188.95,60.667,5.6218,3.7262,6.2112,25.285,3.1397,4.3899,8.6087,0
113.11,8.9266,0,0,0,12.844,0,1.2308,5.1621,0
61.902,9.3306,0.63776,0,0.71225,37.72,2.4899,0,0.7965,0
98.308,12.854,1.5779,1.5528,0.57604,12.883,0.4128,3.1801,1.9656,0
38.518,13.791,15.493,0,2.6551,16.352,0.92017,1.6944,1.6226,0
105.86,3.4732,0,0.42088,1.2019,11.559,0,2.9412,3.6166,0
154.23,29.13,1.0989,0,0.58275,18.811,1.3235,0,6.3829,0
19.405,19.283,0,0,0,12.46,0.79365,0,2.9158,0
41.865,27.922,0,1.7637,1.6115,22.117,1.0679,0,2.4547,0
162.73,0,1.0055,7.6596,0,6.5366,0,1.3158,4.9529,0
91.366,1.2759,0,11.985,0,9.3745,0.61843,0,8.4538,0
92.566,1.4536,2.1559,18.866,0,23.757,4.1787,8.3121,1.054,0
197.07,11.758,0,4.9523,1.564,5.1279,5.2461,3.4014,2.7622,0
25.919,3.1255,0,6.368,1.8939,27.444,2.442,17.307,0,0
22.871,2.3685,0,10.475,0,32.278,5.0481,1.7994,1.1312,0
55.673,1.6461,0,0,0,0,0,0.82305,0,0
28.213,5.1117,0,3.5471,0.76628,6.2515,3.2895,4.4466,5.6963,0
40.551,1.7799,0,5.3167,9.3295,8.4333,0,5.1977,2.792,0
74.612,23.709,0,13.712,0.68966,0.51282,0,0,0,0
14.436,14.246,0,8.7741,3.9256,10.46,0,0,1.2954,0
116.32,8.9554,1.4916,90.558,17.737,26.685,0,0.46296,15.064,0
25.706,1.7007,0,1.8347,5.6423,0.71429,0,5.1927,0,0
34.212,1.9048,0,0,0,7.4229,0,5.506,2.2801,0
61.739,0.5848,6.0466,7.5541,2.5713,14.465,0,5.5457,0.79224,0
499.03,1.4337,0,0.71685,0,0,0.71685,2.6333,0,0
61.208,1.9083,0,13.801,2.7911,3.3437,5.1556,0,2.1961,0
76.984,1.6228,2.1404,11.839,2.3643,14.864,0.34341,1.0121,1.6071,0
56.791,18.091,6.6842,2.4535,0,10.836,0,1.3736,1.9048,0.95238
51.677,16.418,0,2.078,0.7619,10.862,0.2694,5.6023,0.55363,0
81.775,7.9685,0,0.34188,0.8547,24.283,0,0,15.655,0
156.85,24.517,0,49.356,6.7023,21.546,8.295,1.5157,2.3946,0
10.951,7.0673,0,2.2122,0,25.847,2.0637,1.0582,0,0
15.65,10.83,0.54945,14.389,4.7769,41.065,1.1282,6.4992,3.1409,0
72.856,5.5755,2.1395,0.52083,0,8.2469,0.4884,0.52083,0.7837,0
7.7942,8.3757,0,0,0,7.4905,0,0.481,1.0449,0
26.292,6.0758,0,1.6132,2.0448,10.032,0.82305,1.8213,0,0
273.37,6.3573,0.29727,36.812,1.62,17.132,0.8925,0.62795,3.0491,0.30048
24.972,1.8378,0,10.393,1.9245,29.643,1.2306,7.099,3.952,0
77.48,9.4381,5.191,12.959,3.362,49.62,2.2603,5.2439,2.6202,0
167,29.189,0,55.715,2.8567,10.969,4.5793,1.6918,3.37,0.71685
35.206,6.5004,0,7.2758,1.6107,26.5,0.43011,2.9899,3.2966,0
32.952,8.988,3.5296,6.2597,3.4944,35.491,0,5.8062,0.4085,0
